"","year","model","anomaly"
"102",1910,"CESM2-WACCM.nc",18.1490056702096
"103",1910,"CIESM.nc",18.8265965447246
"104",1910,"CMCC-CM2-SR5.nc",17.7933708561526
"105",1910,"CMCC-ESM2.nc",17.4704035799427
"106",1910,"CNRM-CM6-1.nc",17.8419159148142
"107",1910,"EC-Earth3-CC.nc",17.9129728162277
"108",1910,"INM-CM5-0.nc",16.7310650978932
"109",1910,"MIROC-ES2L.nc",17.582111485392
"110",1910,"MIROC6.nc",17.7110739246389
"111",1911,"ACCESS-CM2.nc",17.2064894862651
"112",1911,"CESM2-WACCM.nc",18.2366131768369
"113",1911,"CIESM.nc",18.973797267445
"114",1911,"CMCC-CM2-SR5.nc",17.5079146859499
"115",1911,"CMCC-ESM2.nc",17.5195231711881
"116",1911,"CNRM-CM6-1.nc",17.9379385645033
"117",1911,"EC-Earth3-CC.nc",17.4318076062813
"118",1911,"INM-CM5-0.nc",16.7593011122336
"119",1911,"MIROC-ES2L.nc",17.6192906075741
"120",1911,"MIROC6.nc",17.7930136535833
"121",1912,"ACCESS-CM2.nc",16.8044339196399
"122",1912,"CESM2-WACCM.nc",18.4891875267232
"123",1912,"CIESM.nc",18.5854474906707
"124",1912,"CMCC-CM2-SR5.nc",17.4781591417222
"125",1912,"CMCC-ESM2.nc",17.6198021518478
"126",1912,"CNRM-CM6-1.nc",17.9897615791093
"127",1912,"EC-Earth3-CC.nc",17.3307880489336
"128",1912,"INM-CM5-0.nc",16.7499091256448
"129",1912,"MIROC-ES2L.nc",17.111177791063
"130",1912,"MIROC6.nc",17.618826313711
"131",1913,"ACCESS-CM2.nc",16.7193464730696
"132",1913,"CESM2-WACCM.nc",18.309860928332
"133",1913,"CIESM.nc",18.7486952992131
"134",1913,"CMCC-CM2-SR5.nc",17.1935084707833
"135",1913,"CMCC-ESM2.nc",17.2505823500518
"136",1913,"CNRM-CM6-1.nc",18.0225949768982
"137",1913,"EC-Earth3-CC.nc",17.506476795049
"138",1913,"INM-CM5-0.nc",16.6192606393045
"139",1913,"MIROC-ES2L.nc",17.1866511644556
"140",1913,"MIROC6.nc",17.4321097780403
"141",1914,"ACCESS-CM2.nc",16.6371907954518
"142",1914,"CESM2-WACCM.nc",18.0709559220841
"143",1914,"CIESM.nc",18.4913491634298
"144",1914,"CMCC-CM2-SR5.nc",17.4409475760383
"145",1914,"CMCC-ESM2.nc",17.0102709686342
"146",1914,"CNRM-CM6-1.nc",18.055679241018
"147",1914,"EC-Earth3-CC.nc",17.6983221379879
"148",1914,"INM-CM5-0.nc",16.6923765791392
"149",1914,"MIROC-ES2L.nc",17.3185757551862
"150",1914,"MIROC6.nc",17.6796757704956
"151",1915,"ACCESS-CM2.nc",17.0936996372622
"152",1915,"CESM2-WACCM.nc",18.1773712984727
"153",1915,"CIESM.nc",18.5489295653347
"154",1915,"CMCC-CM2-SR5.nc",17.8458088997793
"155",1915,"CMCC-ESM2.nc",17.149680133228
"156",1915,"CNRM-CM6-1.nc",17.7625993504814
"157",1915,"EC-Earth3-CC.nc",17.7380273223288
"158",1915,"INM-CM5-0.nc",16.8072628639125
"159",1915,"MIROC-ES2L.nc",17.8722828206158
"160",1915,"MIROC6.nc",17.5066394998619
"161",1916,"ACCESS-CM2.nc",16.5354449274992
"162",1916,"CESM2-WACCM.nc",18.2269008834098
"163",1916,"CIESM.nc",18.5324321454597
