"","year","annual.sst","two.yr.sst","three.yr.sst"
"1900",1900,0.835411284846068,NA,NA
"1901",1901,-1.81917996381262,-0.565061999372461,NA
"1902",1902,0.0383623243756933,-1.02524694654982,-0.395052633711262
"1903",1903,-1.40410996164619,-0.785601734655754,-1.33331008240746
"1904",1904,-2.03322823631806,-1.98165723441247,-1.42298656409895
"1905",1905,-0.218040196416717,-1.2968668647736,-1.53040754765727
"1906",1906,-0.0441537191114391,-0.148452906498854,-0.960647793666243
"1907",1907,-2.59438262337909,-1.52046023410597,-1.19574593544687
"1908",1908,-2.07761598020428,-2.69450194247972,-1.97482353218168
"1909",1909,-2.38304079850726,-2.57248142512328,-2.95471074126247
"1910",1910,-2.06694961787053,-2.56632308400426,-2.73374032319578
"1911",1911,-0.940359162267649,-1.73337504004111,-2.25728148978177
"1912",1912,0.24532420857299,-0.398358420668643,-1.15611620740364
"1913",1913,-0.00378334105158994,0.14238388775812,-0.29174346248945
"1914",1914,-0.556046230734844,-0.32029611255797,-0.130733839916901
"1915",1915,1.06196967963124,0.29502806682193,0.211403434897769
"1916",1916,-1.73250967176961,-0.384215986327798,-0.512854197885992
"1917",1917,-1.19363311514419,-1.68651296486505,-0.779974076487301
"1918",1918,-1.71332536778148,-1.6754366968373,-1.94269635681537
"1919",1919,-1.30390561830117,-1.73910373431824,-1.76313077049284
"1920",1920,-0.935561744191489,-1.29005338761556,-1.6550106146913
"1921",1921,-0.432069196570209,-0.786689080553686,-1.11822260778588
"1922",1922,-0.610465823451883,-0.598991390031838,-0.827702902398494
"1923",1923,-0.0739089008495063,-0.392203620469989,-0.466709587545089
"1924",1924,-0.82276965191721,-0.514779561137687,-0.630395291805535
"1925",1925,-0.927590921068561,-1.00766222564669,-0.763256270674747
"1926",1926,1.55507173377724,0.36521054220207,-0.0807875436580539
"1927",1927,-0.0335122931797237,0.88141663060173,0.24987535893044
"1928",1928,-0.606785694621263,-0.366755433891566,0.384278144242834
"1929",1929,0.843915887502992,0.139837336446044,0.0863362198267271
"1930",1930,0.0152988997613184,0.499004690527846,0.106785887552992
"1931",1931,0.107917803683328,0.0740681356576062,0.406214116663939
"1932",1932,-0.305634694657642,-0.111226390174246,-0.0753952442897132
"1933",1933,-0.43509675483329,-0.4247417930173,-0.264090519427508
"1934",1934,0.386510528000888,-0.0251241678463113,-0.147372850795012
"1935",1935,0.406392756423803,0.460719018072426,0.150934236355743
"1936",1936,2.20181498623192,1.50880492954376,1.25568021118588
"1937",1937,1.02281555949785,1.8647033864016,1.5222630517729
"1938",1938,-0.167959063295522,0.496488383448093,1.28163578651791
"1939",1939,-0.369743926875506,-0.307521088316181,0.204269671432706
"1940",1940,1.18627285645312,0.474359543066414,0.272750837508824
"1941",1941,2.13519824030525,1.92061533920487,1.23766889711963
"1942",1942,1.70002740426717,2.21723715439225,2.1048088591022
"1943",1943,-0.42873267098183,0.736923560757131,1.42819506578599
"1944",1944,0.498542452349912,0.0432330642459271,0.742510798933845
"1945",1945,0.734235095310452,0.714685241768808,0.337887788908176
"1946",1946,0.159387309857048,0.518870305581073,0.584283286880536
"1947",1947,-1.08135688568744,-0.529381610308857,-0.077622611277621
"1948",1948,-0.799910832112863,-1.08324289949395,-0.720359913299834
"1949",1949,-0.749089332457951,-0.891404588405225,-1.10097026828246
"1950",1950,-0.754412651433661,-0.8651357154615,-0.963995518175781
"1951",1951,0.016833648637126,-0.42292169339044,-0.621816762807661
"1952",1952,-0.0350119545638797,-0.00756782166215622,-0.322650849644768
"1953",1953,0.391266554766488,0.208615117748389,0.157336581024761
"1954",1954,0.641128864356027,0.598992425129217,0.418887855544309
"1955",1955,0.110763979286088,0.437041190910955,0.479961335418458
"1956",1956,0.267313797185343,0.221214967590216,0.428030772906893
"1957",1957,1.48895212011468,1.01692698559897,0.783230120151025
"1958",1958,1.37764424181521,1.6579884289385,1.31399527577789
"1959",1959,1.06229715103909,1.4116545095126,1.64705710964576
"1960",1960,0.476442513642384,0.891335821146695,1.22286167875308
"1961",1961,0.746815283211303,0.709188909373459,0.958573063411555
"1962",1962,0.689148648695195,0.831997126155791,0.802240828411613
"1963",1963,1.28481445797184,1.1426168422552,1.14091187217693
"1964",1964,0.0818061837049318,0.79196101804439,0.862303333838708
"1965",1965,-0.647401783092978,-0.323625191747415,0.302349549007444
"1966",1966,-0.393081093709438,-0.597806562667418,-0.400612301417052
"1967",1967,0.435396760264314,0.0273590359233289,-0.25247394695167
"1968",1968,0.424620217346782,0.499467843910726,0.19665446772813
"1969",1969,-0.295520399038765,0.0774648164600509,0.237527957371556
"1970",1970,0.280224000987671,-0.0059039205854294,0.172517635431503
"1971",1971,-1.39451579169188,-0.640420947516586,-0.589617536693062
"1972",1972,-1.37258278707666,-1.59468704932657,-1.04085764431423
"1973",1973,-0.895441688893871,-1.30654114985992,-1.5334080465199
"1974",1974,0.0717273888756518,-0.472652850656707,-0.919118904176535
"1975",1975,-1.01831204057838,-0.543593393965651,-0.7706955894713
"1976",1976,-0.38078173697644,-0.804854493979665,-0.555076499369569
"1977",1977,0.959860955055589,0.337265351413856,-0.182988967174627
"1978",1978,0.163982103490171,0.651790721350123,0.312338455576858
"1979",1979,0.917874391565104,0.627549319052043,0.856416252475437
"1980",1980,0.160589331104742,0.625590464755249,0.521557828659195
"1981",1981,1.3125829625199,0.853479781326327,1.00276929885688
"1982",1982,-0.302494056801392,0.586113515298538,0.491490475926705
"1983",1983,1.41102095156571,0.642947766437335,1.01536439934689
"1984",1984,1.52799552287821,1.6998009740953,1.10561245553991
"1985",1985,-0.134696935501281,0.807363822190301,1.17591181044721
"1986",1986,0.493728521038729,0.210218440646987,0.791608041540079
"1987",1987,0.758963157818092,0.72618288352888,0.469418490565171
"1988",1988,0.49524315456238,0.727057373783108,0.733334710453833
"1989",1989,0.665485783032239,0.673087187619488,0.805293184027368
"1990",1990,0.419481072956968,0.629345120004146,0.66306564529838
"1991",1991,-0.0233045311651147,0.231664487978572,0.445817771718237
"1992",1992,0.148095942151438,0.0749773103041155,0.229054982418292
"1993",1993,1.03448790269577,0.685705357692332,0.486714846063377
"1994",1994,0.520004616282864,0.900430904111677,0.714336644845722
"1995",1995,0.0262875137367285,0.318335367015053,0.663304458634902
"1996",1996,0.238439239901095,0.155770513055829,0.32979630881868
"1997",1997,1.553614729571,1.03758960949684,0.762831891472468
"1998",1998,1.05601906323444,1.50962827521681,1.19424253246861
"1999",1999,-0.333412296317214,0.420132553751796,0.954662772175831
"2000",2000,0.116840643809099,-0.122112393256608,0.352719838983647
"2001",2001,0.371326635054263,0.284776347575097,0.0658648820091838
"2002",2002,0.67024861212606,0.604292499402429,0.486353111262226
"2003",2003,1.56718492598816,1.29473438156768,1.09398133897377
"2004",2004,1.23130604914993,1.61866703793539,1.45427356315537
"2005",2005,1.71231296222584,1.70245829920317,1.89085108615645
"2006",2006,0.234743154215594,1.12708179674387,1.33261864282612
"2007",2007,-0.168991034084163,0.0408903290885413,0.745957913087652
