"","name","bias","ar.difference","correlation","total"
"1","ACCESS-CM2",21.979440259868,15.6961899132293,14.5192695913762,52.1948997644735
"2","ACCESS-ESM1-5",18.0734158500427,3.76328418708002,11.8377215668211,33.6744216039438
"3","BCC-CSM2-MR",2.90564780160762,8.13480231748265,1,12.0404501190903
"4","CAMS-CSM1-0",5.77673353177619,3.63109470797657,12.7193774666417,22.1272057063944
"5","CanESM5-CanOE",9.34061456504691,19.582653497106,15.0559798463606,43.9792479085136
"6","CanESM5",10.3876653820984,4.91673938673198,9.43594770837334,24.7403524772038
"7","CESM2-WACCM",22.3823865623883,18.751720791309,11.8279154733723,52.9620228270695
"8","CESM2",22.2597650781127,10.7944385622545,23.6660397311601,56.7202433715273
"9","CIESM",13.7384255749052,16.4568671308985,15.5458941395581,45.7411868453618
"10","CMCC-CM2-SR5",21.8079966140013,4.71187623238803,19.063332445494,45.5832052918833
"11","CMCC-ESM2",22.3335859589373,9.82465087846517,25.4967647189012,57.6550015563036
"12","CNRM-CM6-1",15.2523738077562,12.80284709335,23.1769792838361,51.2322001849423
"13","EC-Earth3-CC",22.898031657398,10.6440931800595,20.4014460240332,53.9435708614906
"14","GISS-E2-1-G",1,2.65971382859031,4.40969465595032,8.06940848454063
"15","HadGEM3-GC31-LL",19.7090836304056,19.9000939726894,7.34495420584071,46.9541318089357
"16","HadGEM3-GC31-MM",17.0472357336975,15.9091767263178,8.23852106792174,41.194933527937
"17","INM-CM4-8",16.9903543408988,6.5313566626061,13.6381865937574,37.1598975972623
"18","INM-CM5-0",18.3678221479452,13.7780012630644,21.8139068755391,53.9597302865487
"19","MIROC-ES2L",18.5643774991683,8.31380288230581,15.9410120322025,42.8191924136766
"20","MIROC6",17.866060858528,15.0231108842307,7.29106435280069,40.1802360955594
"21","NorESM2-LM",18.9033554653905,5.42962426875496,23.3024798260624,47.6354595602078
"22","NorESM2-MM",17.5940309142132,1,19.2686581601029,37.8626890743162
"23","UKESM1-0-LL",17.142591373814,17.5670443219311,19.8869362277513,54.5965719234964
