"region","year","annual.unsmoothed"
"North_Pacific",2001,16.2585078804349
"North_Pacific",2002,16.2243233509202
"North_Pacific",2003,16.3407559360783
"North_Pacific",2004,16.5305976358026
"North_Pacific",2005,16.5200274494492
"North_Pacific",2006,16.2968435104376
"North_Pacific",2007,16.2870544277032
"North_Pacific",2008,16.4000965553778
"North_Pacific",2009,16.3833400204169
"North_Pacific",2010,16.2774974168895
"North_Pacific",2011,16.379299826197
"North_Pacific",2012,16.2699355819266
"North_Pacific",2013,16.5159203914134
"North_Pacific",2014,16.7701628593079
"North_Pacific",2015,16.8582167269437
"North_Pacific",2016,16.7587939965537
"North_Pacific",2017,16.7328665425323
"North_Pacific",2018,16.8833227240602
"North_Pacific",2019,16.9747102909621
"North_Pacific",2020,17.0488610663219
"North_Pacific",2021,16.847356085894
"North_Pacific",2022,17.0576750053559
