"region","model","climatology_diff","sd_diff","ar_diff","trend_diff"
"North_Pacific","ACCESS-CM2",1.13260574681692,0.0460423102316628,0.0525897284711193,0.00556847479923516
"North_Pacific","ACCESS-ESM1-5",0.375932945365804,0.141033892451809,0.199595610709259,0.0088842360092426
"North_Pacific","BCC-CSM2-MR",0.481685895993053,0.0427806825432818,0.182902250979819,0.00061564727045094
"North_Pacific","CAMS-CSM1-0",0.686869514126247,0.0461924968103111,0.107393938146483,0.010572617753865
"North_Pacific","CanESM5-CanOE",0.20608136013109,0.170680227375291,0.259709627284727,0.00988285376194136
"North_Pacific","CanESM5",0.0480925006456765,0.212076640438707,0.254528469188271,0.0114886903184553
"North_Pacific","CESM2-WACCM",0.289742691185015,0.153342064792314,0.165091575390071,0.00894762925220578
"North_Pacific","CESM2",0.408814923167931,0.129797723722377,0.108661017647645,0.00863662676146318
"North_Pacific","CIESM",0.812573409375229,0.0617343170370707,0.156598766381187,0.00443614012606496
"North_Pacific","CMCC-CM2-SR5",0.138570882954543,0.234211260479519,0.200575262727649,0.0068059764217412
"North_Pacific","CMCC-ESM2",0.41130353714761,0.197134291047325,0.218618577702898,0.000248523762368408
"North_Pacific","CNRM-CM6-1",0.193404129470718,0.127011699673375,0.191138865353879,0.00139319354702842
"North_Pacific","EC-Earth3-CC",0.237286101437967,0.144840724107442,0.162379784576606,0.00502916496695151
"North_Pacific","GISS-E2-1-G",1.09483115251448,0.052056201321763,0.155772211987026,0.0017321824331508
"North_Pacific","HadGEM3-GC31-LL",0.664538457281342,0.136706978672099,0.193563871405944,0.0128786363057178
"North_Pacific","HadGEM3-GC31-MM",0.375173840961033,0.0422765153719407,0.0509571426096718,0.00255512140742974
"North_Pacific","INM-CM4-8",0.737831345650026,0.0535712051260235,0.147482373434996,0.00261041949862165
"North_Pacific","INM-CM5-0",0.770077187318112,0.0847875495510911,0.189453376897523,0.00177957026210509
"North_Pacific","MIROC-ES2L",0.929500109528998,0.0723301658492853,0.174658706684241,0.00505230087728501
"North_Pacific","MIROC6",0.62116119500487,0.0359059367271286,0.21078317689135,0.00189941980936984
"North_Pacific","NorESM2-LM",0.0542657101237722,0.231723270896813,0.171816397789271,0.014801957702692
"North_Pacific","NorESM2-MM",0.425600557151018,0.113531634406419,0.0728438092602187,0.00519006945405023
"North_Pacific","UKESM1-0-LL",0.75776068297786,0.217406051684721,0.243014574684512,0.0184784291161887
"Eastern_Bering_Sea","ACCESS-CM2",0.705427647070736,0.122466184444088,0.251061565967418,0.00772262507792149
"Eastern_Bering_Sea","ACCESS-ESM1-5",0.359621329448195,0.258865013053984,0.126720307212059,0.0183369784011058
"Eastern_Bering_Sea","BCC-CSM2-MR",2.38740339786172,0.0497688807750509,0.0733267264433922,0.000645681108908495
"Eastern_Bering_Sea","CAMS-CSM1-0",1.95724958415603,0.0830346166595346,0.031283450517832,0.0300088753817849
"Eastern_Bering_Sea","CanESM5-CanOE",0.906702142832925,0.202108844014894,0.0188033635250054,0.0093465586078741
"Eastern_Bering_Sea","CanESM5",0.519842170070576,0.29031386212415,0.098273224956873,0.0163724998767281
"Eastern_Bering_Sea","CESM2-WACCM",0.288822844815384,0.0625271781362636,0.111965580501913,0.00102848526548356
"Eastern_Bering_Sea","CESM2",0.157106026109232,0.0658359821277825,0.00391226746640916,0.000808992218345194
"Eastern_Bering_Sea","CIESM",2.16944077822658,0.0112013624208059,0.144384940308732,0.00187104627564004
"Eastern_Bering_Sea","CMCC-CM2-SR5",0.908384764172549,0.436048206164997,0.105477773768876,0.031657536983991
"Eastern_Bering_Sea","CMCC-ESM2",0.822260436877858,0.357195969660575,0.0681630889426906,0.00523015332066185
"Eastern_Bering_Sea","CNRM-CM6-1",1.00591663612947,0.193780859570469,0.0465098076358594,0.000639658376776771
"Eastern_Bering_Sea","EC-Earth3-CC",2.01606780823818,0.274956777368967,0.0633537069347542,0.0122477653874309
"Eastern_Bering_Sea","GISS-E2-1-G",3.20105048577286,0.124731303562755,0.23660829463917,0.00298648182962394
"Eastern_Bering_Sea","HadGEM3-GC31-LL",0.493704402960006,0.105863088355748,0.0298776116524805,0.00394474701156736
"Eastern_Bering_Sea","HadGEM3-GC31-MM",0.708053444896866,0.0863073403319667,0.276270474519523,0.010373110685904
"Eastern_Bering_Sea","INM-CM4-8",1.63439598228128,0.085854690370334,0.221664885689927,0.0102160305257148
"Eastern_Bering_Sea","INM-CM5-0",0.64330100779506,0.0754008448090402,0.178018497905376,0.0166122495455394
"Eastern_Bering_Sea","MIROC-ES2L",0.666416049764198,0.357314799999506,0.0604827409035421,0.0223062438962967
"Eastern_Bering_Sea","MIROC6",0.547435757131355,0.230832667145865,0.100539309750429,0.0204625641880809
"Eastern_Bering_Sea","NorESM2-LM",0.19852834527486,0.211346632653536,0.111749444214249,0.0199681422857853
"Eastern_Bering_Sea","NorESM2-MM",0.78311014724693,0.286302671003926,0.152348050316492,0.0133579209009349
"Eastern_Bering_Sea","UKESM1-0-LL",1.00222096254322,0.240427870309368,0.0822529373534419,0.0333470493765545
"Gulf_of_Alaska","ACCESS-CM2",0.138057663277824,0.0509634584362615,0.0584287183291037,0.00766513554903333
"Gulf_of_Alaska","ACCESS-ESM1-5",0.754019572836707,0.347311529637134,0.258403435781682,0.0162961293119148
"Gulf_of_Alaska","BCC-CSM2-MR",3.94374485294623,0.225663139267443,0.161307704351708,0.00709591398827391
"Gulf_of_Alaska","CAMS-CSM1-0",3.06001742452133,0.226831869869711,0.259963412980541,0.0190476312362902
"Gulf_of_Alaska","CanESM5-CanOE",2.21628951509822,0.12045403974895,0.0114391984650365,0.00186890416022103
"Gulf_of_Alaska","CanESM5",2.00763134522567,0.125716062152708,0.223909009199055,0.00537684660664043
"Gulf_of_Alaska","CESM2-WACCM",0.100939823907362,0.18684520610285,0.0200932514179396,0.0026961788656955
"Gulf_of_Alaska","CESM2",0.121902409118262,0.214028643750622,0.116920037711965,0.0071998135037868
"Gulf_of_Alaska","CIESM",1.40725691893733,0.0623887440950867,0.0389382272213027,0.0107078369024603
"Gulf_of_Alaska","CMCC-CM2-SR5",0.192421951621054,0.52229356318257,0.232831150725973,0.0268339786672597
"Gulf_of_Alaska","CMCC-ESM2",0.12073282424532,0.446560183522482,0.132022689466562,0.00603790152019788
"Gulf_of_Alaska","CNRM-CM6-1",1.17085805093361,0.17381489400875,0.084795161281512,0.000568829240484368
"Gulf_of_Alaska","EC-Earth3-CC",1.20961892261478,0.146853286281815,0.133499601324525,0.0065134614906177
"Gulf_of_Alaska","GISS-E2-1-G",4.85510329971632,0.151773504281873,0.29208220353863,0.00638803731869071
"Gulf_of_Alaska","HadGEM3-GC31-LL",0.467633980998015,0.156908199628491,0.00354010925460241,0.0101204373823674
"Gulf_of_Alaska","HadGEM3-GC31-MM",0.872778248834138,0.0128085770431419,0.0545118370827153,0.00431789826986727
"Gulf_of_Alaska","INM-CM4-8",0.653128447657682,0.018094676412312,0.187829619744487,0.0089604291630361
"Gulf_of_Alaska","INM-CM5-0",0.470010394486013,0.0760151887739665,0.0628407143520621,0.00608041702186562
"Gulf_of_Alaska","MIROC-ES2L",0.621743707761451,0.589868656405318,0.159900712049829,0.0174735408313643
"Gulf_of_Alaska","MIROC6",0.722882414930923,0.342818094674979,0.0578755945319989,0.00763226124309871
