"warming","year","UCI","LCI"
0.5,2001.30261292342,2004.7469198838,1997.78524914761
1,2018.31948912704,2021.83377177832,2014.80906503985
1.5,2031.8280020572,2035.32100486389,2028.32671203733
2,2043.41916796736,2046.90866170719,2039.90833580837
