"warming","year","UCI","LCI"
0.5,2003.38422873952,2008.98292394189,1997.86054025202
1,2020.65875676663,2026.27640513371,2015.18664724368
1.5,2038.62958355717,2044.27016920817,2033.16870715501
2,2060.09421627711,2065.64212037905,2054.58681082206
