"model","year","warming"
"ACCESS-ESM1-5",1967,-0.159642998839831
"ACCESS-ESM1-5",1968,-0.15730017440321
"ACCESS-ESM1-5",1969,-0.153543822698345
"ACCESS-ESM1-5",1970,-0.149201508850893
"ACCESS-ESM1-5",1971,-0.145114555682048
"ACCESS-ESM1-5",1972,-0.142073458718278
"ACCESS-ESM1-5",1973,-0.140753974584883
"ACCESS-ESM1-5",1974,-0.141658406760587
"ACCESS-ESM1-5",1975,-0.145066495758472
"ACCESS-ESM1-5",1976,-0.150999874060561
"ACCESS-ESM1-5",1977,-0.159203283654286
"ACCESS-ESM1-5",1978,-0.169144715389988
"ACCESS-ESM1-5",1979,-0.180035377922744
"ACCESS-ESM1-5",1980,-0.190869022954578
"ACCESS-ESM1-5",1981,-0.20047874037217
"ACCESS-ESM1-5",1982,-0.207607996426201
"ACCESS-ESM1-5",1983,-0.210991524340043
"ACCESS-ESM1-5",1984,-0.20944078472424
"ACCESS-ESM1-5",1985,-0.201928171151161
"ACCESS-ESM1-5",1986,-0.187663998824191
"ACCESS-ESM1-5",1987,-0.166160607255707
"ACCESS-ESM1-5",1988,-0.137278625153088
"ACCESS-ESM1-5",1989,-0.101251548657582
"ACCESS-ESM1-5",1990,-0.0586862033953532
"ACCESS-ESM1-5",1991,-0.0105383009233897
"ACCESS-ESM1-5",1992,0.0419359541588851
"ACCESS-ESM1-5",1993,0.0972495255131389
"ACCESS-ESM1-5",1994,0.153771218773358
"ACCESS-ESM1-5",1995,0.209823806716815
"ACCESS-ESM1-5",1996,0.263787113333279
"ACCESS-ESM1-5",1997,0.314199083368238
"ACCESS-ESM1-5",1998,0.359847878942811
"ACCESS-ESM1-5",1999,0.399848564463351
"ACCESS-ESM1-5",2000,0.433698936065488
"ACCESS-ESM1-5",2001,0.461310456774754
"ACCESS-ESM1-5",2002,0.483011975891386
"ACCESS-ESM1-5",2003,0.499525818210574
"ACCESS-ESM1-5",2004,0.511917786839625
"ACCESS-ESM1-5",2005,0.52152448807339
"ACCESS-ESM1-5",2006,0.529863018733399
"ACCESS-ESM1-5",2007,0.538529332153265
"ACCESS-ESM1-5",2008,0.549092420698678
"ACCESS-ESM1-5",2009,0.562991755696369
"ACCESS-ESM1-5",2010,0.581445183789342
"ACCESS-ESM1-5",2011,0.605373706769387
"ACCESS-ESM1-5",2012,0.635348324656125
"ACCESS-ESM1-5",2013,0.67156249012739
"ACCESS-ESM1-5",2014,0.713831826690953
"ACCESS-ESM1-5",2015,0.761620743862654
"ACCESS-ESM1-5",2016,0.814093590306327
"ACCESS-ESM1-5",2017,0.870186168646897
"ACCESS-ESM1-5",2018,0.928691928271252
"ACCESS-ESM1-5",2019,0.988356065648832
"ACCESS-ESM1-5",2020,1.04797017350762
"ACCESS-ESM1-5",2021,1.10646002942624
"ACCESS-ESM1-5",2022,1.1629595973286
"ACCESS-ESM1-5",2023,1.21686528546543
"ACCESS-ESM1-5",2024,1.26786587531461
"ACCESS-ESM1-5",2025,1.31594518690283
"ACCESS-ESM1-5",2026,1.36135633089601
"ACCESS-ESM1-5",2027,1.40456815387034
"ACCESS-ESM1-5",2028,1.44618604240389
"ACCESS-ESM1-5",2029,1.48685045084711
"ACCESS-ESM1-5",2030,1.52711720772096
"BCC-CSM2-MR",1940,0.186909863987351
"BCC-CSM2-MR",1941,0.185204097562441
"BCC-CSM2-MR",1942,0.18347228937317
"BCC-CSM2-MR",1943,0.181676006601256
"BCC-CSM2-MR",1944,0.179767059199622
"BCC-CSM2-MR",1945,0.177693450445276
"BCC-CSM2-MR",1946,0.17540483855298
"BCC-CSM2-MR",1947,0.1728575683078
"BCC-CSM2-MR",1948,0.170019284956613
"BCC-CSM2-MR",1949,0.166873082453022
"BCC-CSM2-MR",1950,0.163421073310834
"BCC-CSM2-MR",1951,0.159687207626385
"BCC-CSM2-MR",1952,0.155719124199453
"BCC-CSM2-MR",1953,0.151588796017093
"BCC-CSM2-MR",1954,0.147391742484415
"BCC-CSM2-MR",1955,0.14324462553351
"BCC-CSM2-MR",1956,0.13928112634764
"BCC-CSM2-MR",1957,0.135646110230142
"BCC-CSM2-MR",1958,0.132488221646611
"BCC-CSM2-MR",1959,0.129951198872005
"BCC-CSM2-MR",1960,0.128164344704044
"BCC-CSM2-MR",1961,0.12723272174925
"BCC-CSM2-MR",1962,0.127227743239111
"BCC-CSM2-MR",1963,0.128178889998854
"BCC-CSM2-MR",1964,0.130067290654795
"BCC-CSM2-MR",1965,0.132821848967075
"BCC-CSM2-MR",1966,0.136318487684113
"BCC-CSM2-MR",1967,0.140382906218834
"BCC-CSM2-MR",1968,0.144797028774221
"BCC-CSM2-MR",1969,0.149309064219806
"BCC-CSM2-MR",1970,0.153646826951052
"BCC-CSM2-MR",1971,0.157533699742821
