"region","model","comparison","climatology_diff","sd_diff","ar_diff","trend_diff"
"North_Pacific","ACCESS-CM2","ACCESS-ESM1-5",1.50853869218273,0.0949915822201465,0.14700588223814,0.00331576121000744
"North_Pacific","ACCESS-CM2","BCC-CSM2-MR",0.650919850823868,0.00326162768838098,0.1303125225087,0.00495282752878422
"North_Pacific","ACCESS-CM2","CAMS-CSM1-0",0.445736232690674,0.0922348070419739,0.159983666617602,0.0161410925531001
"North_Pacific","ACCESS-CM2","CanESM5-CanOE",0.926524386685831,0.124637917143628,0.207119898813607,0.00431437896270621
"North_Pacific","ACCESS-CM2","CanESM5",1.08451324617124,0.166034330207044,0.201938740717152,0.00592021551922016
"North_Pacific","ACCESS-CM2","CESM2-WACCM",1.42234843800194,0.107299754560651,0.112501846918952,0.00337915445297062
"North_Pacific","ACCESS-CM2","CESM2",1.54142066998485,0.0837554134907145,0.0560712891765254,0.00306815196222802
"North_Pacific","ACCESS-CM2","CIESM",1.94517915619215,0.015692006805408,0.104009037910068,0.0100046149253001
"North_Pacific","ACCESS-CM2","CMCC-CM2-SR5",0.994034863862378,0.188168950247857,0.14798553425653,0.00123750162250605
"North_Pacific","ACCESS-CM2","CMCC-ESM2",0.721302209669311,0.151091980815662,0.166028849231779,0.00581699856160357
"North_Pacific","ACCESS-CM2","CNRM-CM6-1",0.939201617346203,0.0809693894417127,0.13854913688276,0.00417528125220673
"North_Pacific","ACCESS-CM2","EC-Earth3-CC",1.36989184825489,0.0987984138757793,0.109790056105486,0.000539309832283646
"North_Pacific","ACCESS-CM2","GISS-E2-1-G",0.0377745943024372,0.00601389109010025,0.103182483515906,0.00383629236608436
"North_Pacific","ACCESS-CM2","HadGEM3-GC31-LL",0.468067289535579,0.0906646684404363,0.140974142934825,0.00731016150648264
"North_Pacific","ACCESS-CM2","HadGEM3-GC31-MM",0.757431905855888,0.00376579485972209,0.00163258586144754,0.00301335339180542
"North_Pacific","ACCESS-CM2","INM-CM4-8",0.394774401166895,0.0075288948943607,0.0948926449638763,0.0029580553006135
"North_Pacific","ACCESS-CM2","INM-CM5-0",0.362528559498809,0.0387452393194283,0.136863648426404,0.00734804506134024
"North_Pacific","ACCESS-CM2","MIROC-ES2L",0.203105637287923,0.0262878556176225,0.122068978213122,0.000516173921950143
"North_Pacific","ACCESS-CM2","MIROC6",0.511444551812051,0.0101363735045341,0.158193448420231,0.007467894608605
"North_Pacific","ACCESS-CM2","NorESM2-LM",1.07834003669315,0.18568096066515,0.119226669318151,0.00923348290345684
"North_Pacific","ACCESS-CM2","NorESM2-MM",0.707005189665903,0.0674893241747561,0.0202540807890994,0.000378405345184928
"North_Pacific","ACCESS-CM2","UKESM1-0-LL",0.374845063839061,0.171363741453058,0.190424846213393,0.0129099543169536
"North_Pacific","ACCESS-ESM1-5","ACCESS-CM2",1.50853869218273,0.0949915822201465,0.14700588223814,0.00331576121000744
"North_Pacific","ACCESS-ESM1-5","BCC-CSM2-MR",0.857618841358857,0.0982532099085275,0.0166933597294397,0.00826858873879166
"North_Pacific","ACCESS-ESM1-5","CAMS-CSM1-0",1.06280245949205,0.18722638926212,0.306989548855742,0.0194568537631076
"North_Pacific","ACCESS-ESM1-5","CanESM5-CanOE",0.582014305496894,0.0296463349234814,0.0601140165754676,0.000998617752698765
"North_Pacific","ACCESS-ESM1-5","CanESM5",0.424025446011481,0.0710427479868976,0.054932858479012,0.00260445430921271
"North_Pacific","ACCESS-ESM1-5","CESM2-WACCM",0.0861902541807886,0.0123081723405044,0.0345040353191879,6.33932429631792e-05
"North_Pacific","ACCESS-ESM1-5","CESM2",0.032881977802127,0.011236168729432,0.0909345930616144,0.000247609247779425
"North_Pacific","ACCESS-ESM1-5","CIESM",0.436640464009425,0.0792995754147386,0.0429968443280722,0.0133203761353076
"North_Pacific","ACCESS-ESM1-5","CMCC-CM2-SR5",0.514503828320347,0.0931773680277102,0.000979652018389898,0.0020782595875014
"North_Pacific","ACCESS-ESM1-5","CMCC-ESM2",0.787236482513414,0.0561003985955157,0.0190229669936388,0.00913275977161101
"North_Pacific","ACCESS-ESM1-5","CNRM-CM6-1",0.569337074836522,0.0140221927784339,0.00845674535537977,0.00749104246221418
"North_Pacific","ACCESS-ESM1-5","EC-Earth3-CC",0.138646843927837,0.00380683165563278,0.0372158261326535,0.00385507104229109
"North_Pacific","ACCESS-ESM1-5","GISS-E2-1-G",1.47076409788029,0.0889776911300463,0.0438233987222334,0.0071520535760918
"North_Pacific","ACCESS-ESM1-5","HadGEM3-GC31-LL",1.04047140264715,0.00432691377971023,0.00603173930331513,0.0039944002964752
"North_Pacific","ACCESS-ESM1-5","HadGEM3-GC31-MM",0.751106786326837,0.0987573770798686,0.148638468099587,0.00632911460181286
"North_Pacific","ACCESS-ESM1-5","INM-CM4-8",1.11376429101583,0.0874626873257858,0.0521132372742635,0.00627381651062095
"North_Pacific","ACCESS-ESM1-5","INM-CM5-0",1.14601013268392,0.0562463429007182,0.0101422338117362,0.0106638062713477
"North_Pacific","ACCESS-ESM1-5","MIROC-ES2L",1.3054330548948,0.068703726602524,0.0249369040250179,0.00383193513195759
"North_Pacific","ACCESS-ESM1-5","MIROC6",0.997094140370674,0.105127955724681,0.011187566182091,0.0107836558186124
"North_Pacific","ACCESS-ESM1-5","NorESM2-LM",0.430198655489576,0.0906893784450036,0.0277792129199885,0.0059177216934494
"North_Pacific","ACCESS-ESM1-5","NorESM2-MM",0.801533502516822,0.0275022580453904,0.12675180144904,0.00369416655519237
