"model","warming","year","UCI","LCI"
"ACCESS-CM2",0.5,2005.97867875421,2008.17614880172,2004.00843308352
"ACCESS-CM2",1,2019.51377598854,2021.91525689314,2017.32761089462
"ACCESS-CM2",1.5,2031.15709682824,2033.12648189175,2029.15118263036
"ACCESS-CM2",2,2041.93488034607,2044.01853690323,2039.81963585012
"ACCESS-ESM1-5",0.5,2004.20912457778,2006.0048640028,2002.49536343273
"ACCESS-ESM1-5",1,2018.85352842092,2020.94341358298,2016.92258205065
"ACCESS-ESM1-5",1.5,2030.25731483522,2032.1538267067,2028.1870988719
"ACCESS-ESM1-5",2,2043.1059319743,2044.90149897912,2041.31711976243
"BCC-CSM2-MR",0.5,2001.28902543153,2003.31554129416,1999.1176340225
"BCC-CSM2-MR",1,2022.97192243469,2025.06985278249,2020.80484264922
"BCC-CSM2-MR",1.5,2039.82991590771,2042.22777118667,2037.51167870073
"BCC-CSM2-MR",2,2051.71128031475,2054.42331784773,2048.92321683595
"CAMS-CSM1-0",0.5,2004.56427313737,2008.42952707876,2000.3678819832
"CAMS-CSM1-0",1,2040.63712190777,2046.86775812584,2034.95079558147
"CAMS-CSM1-0",1.5,2055.83520635419,2060.4854202037,2050.7740112334
"CAMS-CSM1-0",2,2073.67101792226,2078.77048013333,2068.82223562904
"CanESM5-CanOE",0.5,1997.05132454135,1998.25054974711,1995.8147443253
"CanESM5-CanOE",1,2011.53584356446,2012.91770866533,2010.14557841969
"CanESM5-CanOE",1.5,2020.3030234634,2021.91638792833,2018.57708624838
"CanESM5-CanOE",2,2028.35855514572,2029.89740505066,2026.74140466996
"CanESM5",0.5,1992.70323724383,1993.7068799409,1991.69904863807
"CanESM5",1,2007.93715188898,2009.02502548984,2006.85049796751
"CanESM5",1.5,2019.80977903176,2020.94998453754,2018.65186794052
"CanESM5",2,2028.73383008462,2030.00472065142,2027.43854704512
"CESM2-WACCM",0.5,2002.24721315451,2003.94028494646,2000.41685129799
"CESM2-WACCM",1,2017.68500028361,2019.4997224174,2016.00559793891
"CESM2-WACCM",1.5,2031.54014987665,2033.2986016111,2029.75072436533
"CESM2-WACCM",2,2044.5346506518,2046.381531604,2042.772413291
"CESM2",0.5,2006.66871071127,2008.20546048526,2005.1642179843
"CESM2",1,2021.11755944698,2022.80085521324,2019.51541969063
"CESM2",1.5,2033.3765122459,2034.97886048974,2031.67523827579
"CESM2",2,2045.30035594559,2046.86959720361,2043.68148318057
"CIESM",0.5,1996.02349574388,1998.54695530968,1993.3808434763
"CIESM",1,2023.36565643532,2026.03237534536,2020.79204644881
"CIESM",1.5,2043.444629086,2047.36337017448,2039.75836205268
"CIESM",2,2053.03063035278,2057.46478761909,2048.57119678251
"CMCC-CM2-SR5",0.5,1985.61874901679,1987.89962962128,1983.31864504939
"CMCC-CM2-SR5",1,2002.30518842867,2004.33516306538,2000.20006715359
"CMCC-CM2-SR5",1.5,2018.48546640589,2020.6554352213,2016.39562811268
"CMCC-CM2-SR5",2,2031.32067746546,2033.88983486979,2028.8852509446
"CMCC-ESM2",0.5,1990.47196823094,1993.3537638513,1987.48975647009
"CMCC-ESM2",1,2009.3448676499,2011.6969433146,2007.06330379812
"CMCC-ESM2",1.5,2026.32078845773,2029.24337806281,2023.48497375825
"CMCC-ESM2",2,2039.45132491583,2042.80793418887,2036.13947225802
"CNRM-CM6-1",0.5,1994.57872938712,1996.45843499354,1992.55888732459
"CNRM-CM6-1",1,2017.44783091374,2019.61343030158,2015.52260412369
"CNRM-CM6-1",1.5,2034.78696301881,2036.62532621658,2032.92156375633
"CNRM-CM6-1",2,2048.58239398811,2050.79522629991,2046.31533029241
"EC-Earth3-CC",0.5,1982.80919686308,1984.89862274694,1980.76697053337
"EC-Earth3-CC",1,1998.92929630854,2001.13961859892,1996.83663531349
"EC-Earth3-CC",1.5,2024.48831778625,2026.34481992244,2022.63289857662
"EC-Earth3-CC",2,2040.39966595148,2042.8256197847,2038.0035304796
"GISS-E2-1-G",0.5,2005.30854851668,2007.47313658345,2003.42221083865
"GISS-E2-1-G",1,2022.83378354293,2024.90941378629,2020.84999320118
"GISS-E2-1-G",1.5,2037.83118343854,2039.81305693183,2035.87976828551
"GISS-E2-1-G",2,2051.69414880761,2053.72850449198,2049.64425524574
"HadGEM3-GC31-LL",0.5,2004.07744109398,2005.84598492214,2002.49843357033
"HadGEM3-GC31-LL",1,2016.06175666065,2017.92955342116,2014.4070174973
"HadGEM3-GC31-LL",1.5,2026.73382517775,2028.44139313717,2025.0164238376
"HadGEM3-GC31-LL",2,2037.19773002176,2038.81538234806,2035.48224768508
