"region","year","annual.unsmoothed","annual.two.yr.running.mean","annual.three.yr.running.mean","winter.unsmoothed","winter.two.yr.running.mean","winter.three.yr.running.mean"
"North_Pacific",1854,16.1561250194649,16.1791798953205,NA,NA,NA,NA
"North_Pacific",1855,16.2022347711761,16.0696195154885,16.0984546834806,14.2008929484625,14.1759608413698,NA
"North_Pacific",1856,15.9370042598008,15.9699183021235,16.047357125141,14.1510287342772,14.0098436585455,14.0735267551845
"North_Pacific",1857,16.0028323444462,15.9017723542081,15.913516322739,13.8686585828138,13.9979514010228,14.0489771787743
"North_Pacific",1858,15.80071236397,15.9426589327045,15.9627167366184,14.1272442192319,14.2058298858998,14.0934394515378
"North_Pacific",1859,16.0846055014389,15.9101392630629,15.873663630032,14.2844155525677,14.1306157500706,14.1294919064577
"North_Pacific",1860,15.735673024687,15.7937511911423,15.8907026279078,13.9768159475735,13.9071859526291,14.0329291526087
"North_Pacific",1861,15.8518293575976,15.8410293376116,15.8059105666367,13.8375559576848,13.817767675965,13.8707837665012
"North_Pacific",1862,15.8302293176256,15.8631364260414,15.8593674032268,13.7979793942453,13.9031833590582,13.8813075586004
"North_Pacific",1863,15.8960435344572,15.9391965638944,15.9028741484714,14.0083873238711,13.9378540145408,13.891229141109
"North_Pacific",1864,15.9823495933316,16.0506660580281,15.9991252168378,13.8673207052106,13.9779986905395,13.9881282349834
"North_Pacific",1865,16.1189825227247,16.1040565658928,16.0634875750391,14.0886766758685,14.171191237387,14.0699010599949
"North_Pacific",1866,16.0891306090609,16.0284591362378,16.0586335984001,14.2537057989055,14.0988326514502,14.0954473262563
"North_Pacific",1867,15.9677876634147,15.9620800541432,16.0044302391158,13.9439595039948,13.8132820889488,13.9600899922677
"North_Pacific",1868,15.9563724448716,16.0320081431579,16.0106013165768,13.6826046739028,13.9329604264082,13.9366267856037
"North_Pacific",1869,16.1076438414441,16.1001411828424,16.0522182701855,14.1833161789136,14.2378291528259,14.0527543265182
"North_Pacific",1870,16.0926385242407,16.0861736021363,16.0933303485722,14.2923421267382,14.2284763250873,14.2134229430294
"North_Pacific",1871,16.079708680032,16.0168792256429,16.0421323251755,14.1646105234364,14.0758779482727,14.1480326744278
"North_Pacific",1872,15.9540497712538,16.013725303101,16.035719762078,13.9871453731089,13.9931376450615,14.0502952711865
"North_Pacific",1873,16.0734008349482,16.0278843562268,16.0032728279025,13.999129917014,14.0010782770961,13.9964339757671
"North_Pacific",1874,15.9823678775055,16.0258087052918,16.0416727485106,14.0030266371782,14.0420841098687,14.0277660455838
"North_Pacific",1875,16.0692495330781,16.0940694355628,16.056835582877,14.0811415825593,14.0692381516055,14.0471676467964
"North_Pacific",1876,16.1188893380474,16.2264405402663,16.1740435378703,14.0573347206518,14.1200222118367,14.1070620020775
"North_Pacific",1877,16.3339917424852,16.1621559126846,16.1477337211388,14.1827097030215,14.1989365032018,14.1517359090185
"North_Pacific",1878,15.9903200828839,16.0629017244521,16.1532650637964,14.2151633033822,14.1252655746751,14.1444136174572
"North_Pacific",1879,16.1354833660202,15.9829434606859,15.9854023347519,14.0353678459681,14.0279116745781,14.0903288841795
"North_Pacific",1880,15.8304035553517,15.9006126295091,15.9789028750128,14.0204555031881,13.9036532287509,13.9475581011566
"North_Pacific",1881,15.9708217036664,16.0187688222779,15.9559803999692,13.7868509543137,13.929379536689,13.9597381921887
"North_Pacific",1882,16.0667159408894,16.1497057247992,16.090077717755,14.0719081190643,14.1282197470243,14.0144301494541
"North_Pacific",1883,16.232695508709,16.1661059880129,16.132975972305,14.1845313749843,14.373690806175,14.2730965771381
"North_Pacific",1884,16.0995164673167,15.8558564908253,15.9814694967865,14.5628502373658,14.168398331944,14.1737760129575
"North_Pacific",1885,15.6121965143338,15.672098428636,15.8145711081962,13.7739464265223,13.7464138342515,14.0185593019563
"North_Pacific",1886,15.7320003429381,15.7971060513361,15.735469539002,13.7188812419808,13.8491078469106,13.8240540401145
"North_Pacific",1887,15.8622117597341,16.0700463338209,15.95736433686,13.9793344518405,13.9505351586798,13.8733171864468
"North_Pacific",1888,16.2778809079078,16.1959679387402,16.0847158790715,13.921735865519,14.1383244389954,14.0853277766105
"North_Pacific",1889,16.1140549695727,15.9993543340208,16.0921965253165,14.3549130124718,14.0701621812415,14.0206867426673
"North_Pacific",1890,15.884653698469,15.9569995873033,16.0093513813931,13.7854113500112,13.8643287445558,14.0278568338611
"North_Pacific",1891,16.0293454761377,16.0367296071649,15.9860376375996,13.9432461391004,13.926133492152,13.8792261114384
"North_Pacific",1892,16.044113738192,15.8920808301979,15.9378357121778,13.9090208452036,13.8254571577711,13.8647201515475
"North_Pacific",1893,15.7400479222037,15.8671967412498,15.9261690735639,13.7418934703386,13.7075719080396,13.774721553761
"North_Pacific",1894,15.9943455602959,15.9898818470876,15.9066038721263,13.6732503457407,13.8468435977364,13.8118602219372
"North_Pacific",1895,15.9854181338793,16.005655596388,16.0018855843573,14.0204368497322,14.0515171479301,13.9254282138669
"North_Pacific",1896,16.0258930588966,15.9098396043975,15.9350324475581,14.082597446128,14.0079389188721,14.0121048958255
"North_Pacific",1897,15.7937861498984,15.8582110910314,15.9141050803198,13.9332803916163,13.9098924045643,13.9674607517522
"North_Pacific",1898,15.9226360321643,15.8902509488494,15.8580960158658,13.8865044175123,13.8662610232354,13.8886008126957
"North_Pacific",1899,15.8578658655346,15.9118298976782,15.9154319425069,13.8460176289585,13.8741230376083,13.878250164243
"North_Pacific",1900,15.9657939298218,15.9515177110712,15.9203004292257,13.9022284462582,13.925093444454,13.8987348392888
