"","year","model","name","anomaly"
"89",1944,"ACCESS-CM2","piControl",-1.31428232537
"90",1944,"ACCESS-CM2","hist_ssp585",0.866108835292147
"91",1945,"ACCESS-CM2","piControl",-1.14417744893186
"92",1945,"ACCESS-CM2","hist_ssp585",2.59739703110784
"93",1946,"ACCESS-CM2","piControl",1.394243363202
"94",1946,"ACCESS-CM2","hist_ssp585",1.90508404220788
"95",1947,"ACCESS-CM2","piControl",0.436877441187594
"96",1947,"ACCESS-CM2","hist_ssp585",1.85560285746384
"97",1948,"ACCESS-CM2","piControl",0.336952934939393
"98",1948,"ACCESS-CM2","hist_ssp585",-1.32936539567258
"99",1949,"ACCESS-CM2","piControl",1.2341828982292
"100",1949,"ACCESS-CM2","hist_ssp585",0.0454112194615593
"101",1950,"ACCESS-CM2","piControl",0.88044144003526
"102",1950,"ACCESS-CM2","hist_ssp585",-0.927546170405252
"103",1951,"ACCESS-CM2","piControl",0.853189965203374
"104",1951,"ACCESS-CM2","hist_ssp585",0.228274713401691
"105",1952,"ACCESS-CM2","piControl",1.1278642092969
"106",1952,"ACCESS-CM2","hist_ssp585",-0.952548029272797
"107",1953,"ACCESS-CM2","piControl",-1.34230470128361
"108",1953,"ACCESS-CM2","hist_ssp585",0.752087141845193
"109",1954,"ACCESS-CM2","piControl",-0.648352679591841
"110",1954,"ACCESS-CM2","hist_ssp585",0.631263874667358
"111",1955,"ACCESS-CM2","piControl",-0.846511546183535
"112",1955,"ACCESS-CM2","hist_ssp585",-0.232204603342109
"113",1956,"ACCESS-CM2","piControl",0.978242117856444
"114",1956,"ACCESS-CM2","hist_ssp585",-2.32713253668964
"115",1957,"ACCESS-CM2","piControl",-0.207608022449966
"116",1957,"ACCESS-CM2","hist_ssp585",-1.83816652708654
"117",1958,"ACCESS-CM2","piControl",0.512039080722592
"118",1958,"ACCESS-CM2","hist_ssp585",-0.312675644501827
"119",1959,"ACCESS-CM2","piControl",0.409084471168971
"120",1959,"ACCESS-CM2","hist_ssp585",0.726954649729887
"121",1960,"ACCESS-CM2","piControl",0.73425638391181
"122",1960,"ACCESS-CM2","hist_ssp585",0.0981284587034606
"123",1961,"ACCESS-CM2","piControl",-0.219395270219925
"124",1961,"ACCESS-CM2","hist_ssp585",0.107926912824165
"125",1962,"ACCESS-CM2","piControl",-0.147416941460847
"126",1962,"ACCESS-CM2","hist_ssp585",2.08825586903427
"127",1963,"ACCESS-CM2","piControl",0.20275453948401
"128",1963,"ACCESS-CM2","hist_ssp585",1.0274188038902
"129",1964,"ACCESS-CM2","piControl",2.1440480194167
"130",1964,"ACCESS-CM2","hist_ssp585",0.185726696174875
"131",1965,"ACCESS-CM2","piControl",1.28811679157398
"132",1965,"ACCESS-CM2","hist_ssp585",-1.08018919933748
"133",1966,"ACCESS-CM2","piControl",1.67743480778511
"134",1966,"ACCESS-CM2","hist_ssp585",-0.201542290584424
"135",1967,"ACCESS-CM2","piControl",1.17187447378536
"136",1967,"ACCESS-CM2","hist_ssp585",-0.251647825409681
"137",1968,"ACCESS-CM2","piControl",-0.539296521728992
"138",1968,"ACCESS-CM2","hist_ssp585",0.0847692880426667
"139",1969,"ACCESS-CM2","piControl",0.744066525752952
"140",1969,"ACCESS-CM2","hist_ssp585",-0.56137637423662
"141",1970,"ACCESS-CM2","piControl",-0.0797843547617885
"142",1970,"ACCESS-CM2","hist_ssp585",0.641508018692193
"143",1971,"ACCESS-CM2","piControl",0.713820614963273
"144",1971,"ACCESS-CM2","hist_ssp585",-0.10565652618884
"145",1972,"ACCESS-CM2","piControl",0.216741003483932
"146",1972,"ACCESS-CM2","hist_ssp585",0.146389759442672
"147",1973,"ACCESS-CM2","piControl",-1.12112418304025
"148",1973,"ACCESS-CM2","hist_ssp585",0.163546899674416
