"year","model","pred_mean","lower","upper"
1940,NA,0.089201488126945,-0.0189536926156229,0.191440323294541
1941,NA,0.0898900024814508,-0.0178586200765357,0.191414503181112
1942,NA,0.0898220691551551,-0.0176297577998362,0.191138216708627
1943,NA,0.0889968661856059,-0.0187623217218593,0.190330466225361
1944,NA,0.0874193663218159,-0.0207761454790487,0.189043122058037
1945,NA,0.0851003609129755,-0.0229685979119783,0.186708439757958
1946,NA,0.0820564435181688,-0.0259202478323739,0.183457574344621
1947,NA,0.0783099534030528,-0.0296296912475123,0.179259544046012
1948,NA,0.0738888793910616,-0.0344316478004368,0.174544871079215
1949,NA,0.0688267248328884,-0.0394656871658835,0.169521186989878
1950,NA,0.063162334747288,-0.0449555776889349,0.164012085413543
1951,NA,0.0569396864658025,-0.0508802825245337,0.157727800141656
1952,NA,0.0502076453823371,-0.0573400819391391,0.151471195930803
1953,NA,0.0430196876628815,-0.0641358018971543,0.143995445639479
1954,NA,0.0354335920095796,-0.0718689574462898,0.136738283288905
1955,NA,0.0275111027951707,-0.0796503099882852,0.128408560748832
1956,NA,0.0193175670861464,-0.087728715591819,0.12002213967874
1957,NA,0.010921548255272,-0.0962084064434787,0.11172460466029
1958,NA,0.00239441904466001,-0.104645187289827,0.103277266826378
1959,NA,-0.00619006292228513,-0.11361703817702,0.0947176222564546
1960,NA,-0.0147561940675804,-0.122578123365085,0.0859348309251668
1961,NA,-0.0232267750227146,-0.130979877505695,0.0778947093080127
1962,NA,-0.0315235687645142,-0.139555558396601,0.0696698415930428
1963,NA,-0.0395677634186464,-0.147341433320752,0.0611286386020337
1964,NA,-0.0472804364134121,-0.154881331896427,0.0530772203691817
1965,NA,-0.0545830166788547,-0.162031093124611,0.0457152424151705
1966,NA,-0.061397741623673,-0.168821834413912,0.0393890748181888
1967,NA,-0.0676481056845844,-0.175129549667725,0.0339725398913534
1968,NA,-0.0732592973290737,-0.181086128292056,0.028540494844278
1969,NA,-0.0781586215017331,-0.18614876452839,0.023520501255579
1970,NA,-0.0822759046360005,-0.190253389389807,0.0199998497792846
1971,NA,-0.0855438795054429,-0.193982363891044,0.0162783426429037
1972,NA,-0.0878985473608392,-0.196294280742461,0.0140176588211183
