year,month,npgo
1977,11,1.449
1977,12,0.854
1978,1,1.215
1978,2,1.245
1978,3,0.616
1978,4,0.453
1978,5,0.587
1978,6,0.384
1978,7,0.426
1978,8,0.864
1978,9,1.286
1978,10,0.352
1978,11,-0.259
1978,12,-1.115
1979,1,-0.515
1979,2,-0.233
1979,3,-0.629
1979,4,-1.034
1979,5,-0.782
1979,6,-0.823
1979,7,-1.148
1979,8,-1.251
1979,9,-0.785
1979,10,-0.613
1979,11,-0.492
1979,12,-0.541
1980,1,-1.903
1980,2,-1.722
1980,3,-1.151
1980,4,-0.066
1980,5,-0.211
1980,6,-0.683
1980,7,-0.990
1980,8,-1.083
1980,9,-0.697
1980,10,-0.066
1980,11,-0.135
1980,12,-0.283
1981,1,-0.264
1981,2,-1.058
1981,3,-0.691
1981,4,-0.627
1981,5,0.200
1981,6,0.009
1981,7,-0.526
1981,8,-0.698
1981,9,0.003
1981,10,-0.288
1981,11,0.756
1981,12,0.521
1982,1,-0.200
1982,2,-0.873
1982,3,-0.621
1982,4,-1.071
1982,5,-0.993
1982,6,-0.848
1982,7,-0.611
1982,8,-0.457
1982,9,-0.460
1982,10,-1.007
1982,11,-0.866
1982,12,-0.234
1983,1,0.605
1983,2,0.474
1983,3,0.430
1983,4,-0.721
1983,5,-0.744
1983,6,-0.077
1983,7,-0.049
1983,8,-0.010
1983,9,-0.410
1983,10,-0.487
1983,11,0.561
1983,12,-0.678
1984,1,-0.215
1984,2,0.401
1984,3,0.719
1984,4,1.160
1984,5,0.982
1984,6,0.737
1984,7,0.416
1984,8,0.368
1984,9,0.823
1984,10,0.943
1984,11,0.862
1984,12,0.252
1985,1,0.324
1985,2,-0.065
1985,3,0.231
1985,4,0.319
1985,5,0.156
1985,6,-0.045
1985,7,0.178
1985,8,-0.233
1985,9,-0.936
1985,10,-1.183
1985,11,-1.794
1985,12,-1.681
1986,1,-0.769
1986,2,-1.449
1986,3,-0.466
1986,4,-0.967
1986,5,-0.498
1986,6,-0.666
1986,7,-0.941
1986,8,-1.018
1986,9,-0.768
1986,10,-0.294
1986,11,-0.501
1986,12,-0.456
1987,1,0.687
1987,2,0.768
1987,3,0.285
1987,4,0.471
1987,5,0.274
1987,6,0.394
1987,7,0.426
1987,8,0.340
1987,9,0.170
1987,10,0.121
1987,11,0.522
1987,12,0.692
1988,1,1.105
1988,2,0.797
1988,3,0.968
1988,4,1.573
1988,5,1.778
1988,6,1.743
1988,7,1.725
1988,8,1.393
1988,9,1.316
1988,10,1.487
1988,11,1.243
1988,12,0.755
1989,1,1.313
1989,2,0.662
1989,3,0.929
1989,4,0.784
1989,5,0.584
1989,6,0.522
1989,7,1.264
1989,8,0.667
1989,9,0.654
1989,10,0.442
1989,11,-0.301
1989,12,-0.173
1990,1,0.269
1990,2,-0.280
1990,3,0.653
1990,4,0.242
1990,5,-0.096
1990,6,-0.065
1990,7,-0.258
1990,8,-0.330
1990,9,-0.159
1990,10,-0.120
1990,11,-0.739
1990,12,-1.533
1991,1,-0.744
1991,2,-0.305
1991,3,-0.807
1991,4,-0.206
1991,5,-0.060
1991,6,-0.388
1991,7,-0.479
1991,8,-0.574
1991,9,-0.949
1991,10,-1.090
1991,11,-0.172
1991,12,-0.213
1992,1,0.493
1992,2,-0.457
1992,3,-0.821
1992,4,-1.434
1992,5,-1.796
1992,6,-1.351
1992,7,-1.462
1992,8,-1.247
1992,9,-0.947
1992,10,-0.969
1992,11,-1.281
1992,12,-1.869
1993,1,-2.817
1993,2,-2.141
1993,3,-1.742
1993,4,-0.759
1993,5,-1.089
1993,6,-1.682
1993,7,-1.679
1993,8,-1.514
1993,9,-2.047
1993,10,-2.354
1993,11,-2.999
1993,12,-2.001
1994,1,-1.854
1994,2,-1.979
1994,3,-1.856
1994,4,-1.447
1994,5,-0.301
1994,6,-0.612
1994,7,-0.711
1994,8,-0.859
1994,9,-1.105
1994,10,-1.111
1994,11,-1.688
1994,12,-1.017
1995,1,-0.499
1995,2,-1.561
1995,3,-2.055
1995,4,-1.825
1995,5,-1.504
1995,6,-1.048
1995,7,-1.499
1995,8,-1.006
1995,9,-0.894
1995,10,-0.518
1995,11,-0.277
1995,12,0.216
1996,1,-0.639
1996,2,-1.053
1996,3,-1.149
1996,4,-0.436
1996,5,-1.275
1996,6,-1.060
1996,7,-0.884
1996,8,-0.748
1996,9,-0.934
1996,10,-1.041
1996,11,-1.100
1996,12,-1.355
1997,1,-1.640
1997,2,-1.113
1997,3,-0.618
1997,4,-0.506
1997,5,-0.877
1997,6,-0.938
1997,7,-0.772
1997,8,-0.786
1997,9,-0.481
1997,10,-0.594
1997,11,0.174
1997,12,0.261
1998,1,0.528
1998,2,1.900
1998,3,0.893
1998,4,0.522
1998,5,0.278
1998,6,0.119
1998,7,0.393
1998,8,0.273
1998,9,0.044
1998,10,0.099
1998,11,0.717
1998,12,0.769
1999,1,1.083
1999,2,2.304
1999,3,1.974
1999,4,1.646
1999,5,1.605
1999,6,1.905
1999,7,1.381
1999,8,1.433
1999,9,1.305
1999,10,1.179
1999,11,1.321
1999,12,1.053
2000,1,1.405
2000,2,2.124
2000,3,2.149
2000,4,2.365
2000,5,2.220
2000,6,2.102
2000,7,1.656
2000,8,1.352
2000,9,1.380
2000,10,1.698
2000,11,2.015
2000,12,2.165
2001,1,2.862
2001,2,2.956
2001,3,2.389
2001,4,2.204
2001,5,1.954
2001,6,2.349
2001,7,1.500
2001,8,1.915
2001,9,1.893
2001,10,1.162
2001,11,1.765
2001,12,2.019
2002,1,1.864
2002,2,2.177
2002,3,1.898
2002,4,0.897
2002,5,1.103
2002,6,1.605
2002,7,1.382
2002,8,0.812
2002,9,0.824
2002,10,0.824
2002,11,1.659
2002,12,2.637
2003,1,1.969
2003,2,0.993
2003,3,1.491
2003,4,1.102
2003,5,0.919
2003,6,0.778
2003,7,1.202
2003,8,0.782
2003,9,0.869
2003,10,1.287
2003,11,-0.114
2003,12,0.224
2004,1,0.265
2004,2,0.667
2004,3,0.383
2004,4,0.125
2004,5,0.207
2004,6,0.776
2004,7,0.412
2004,8,0.685
2004,9,0.376
2004,10,0.043
2004,11,-0.442
2004,12,-0.985
2005,1,-1.660
2005,2,-1.495
2005,3,-1.494
2005,4,-1.690
2005,5,-0.801
2005,6,-1.288
2005,7,-1.675
2005,8,-1.142
2005,9,-1.576
2005,10,-0.898
2005,11,-1.673
2005,12,-1.267
2006,1,-0.668
2006,2,-1.077
2006,3,-0.717
2006,4,-0.570
2006,5,-0.126
2006,6,-0.134
2006,7,-0.504
2006,8,-0.369
2006,9,-0.346
2006,10,-1.047
2006,11,-0.998
2006,12,-0.161
2007,1,-0.407
2007,2,-0.131
2007,3,-0.546
2007,4,0.261
2007,5,0.690
2007,6,1.235
2007,7,1.230
2007,8,1.437
2007,9,0.915
2007,10,1.272
2007,11,0.724
2007,12,0.454
2008,1,0.552
2008,2,1.140
2008,3,1.371
2008,4,1.404
2008,5,1.739
2008,6,1.283
2008,7,1.431
2008,8,2.143
2008,9,2.234
2008,10,1.771
2008,11,1.970
2008,12,0.460
2009,1,0.729
2009,2,0.935
